date,year,month,operating_airline,operating_airline_iata_code,published_airline,published_airline_iata_code,geo_summary,geo_region,landing_aircraft_type,aircraft_body_type,aircraft_manufacturer,aircraft_model,landing_count,total_landed_weight
2018-09-01,2018.0,9.0,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ2,30.0,1410000.0
2018-09-01,2018.0,9.0,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,125.0,17787978.0
2018-09-01,2018.0,9.0,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,B773,30.0,16620000.0
2018-09-01,2018.0,9.0,"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Passenger,Narrow Body,Boeing,B739,3.0,491700.0
2018-09-01,2018.0,9.0,Hong Kong Airlines Limited,HX,Hong Kong Airlines Limited,HX,International,Asia,Passenger,Wide Body,Airbus,A359,16.0,7301712.0
2018-09-01,2018.0,9.0,Finnair,AY,Finnair,AY,International,Europe,Passenger,Wide Body,Airbus,A333,9.0,3710376.0
2018-09-01,2018.0,9.0,WOW Air,WW,WOW Air,WW,International,Europe,Passenger,Wide Body,Airbus,A333,30.0,12235650.0
2018-09-01,2018.0,9.0,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B738,60.0,8778000.0
2018-09-01,2018.0,9.0,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B738,283.0,40901600.0
2018-09-01,2018.0,9.0,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,B773,29.0,16066000.0
2018-09-01,2018.0,9.0,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B763,27.0,8640000.0
2018-09-01,2018.0,9.0,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B788,29.0,11020000.0
2018-09-01,2018.0,9.0,Compass Airlines,CP,American Airlines,AA,Domestic,US,Passenger,Regional Jet,Embraer,E175,138.0,10374564.0
2018-09-01,2018.0,9.0,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B773,118.0,65372000.0
2018-09-01,2018.0,9.0,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B739,282.0,44358600.0
2018-09-01,2018.0,9.0,Emirates,EK,Emirates,EK,International,Asia,Passenger,Wide Body,Airbus,A388,30.0,25860210.0
2018-09-01,2018.0,9.0,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,B752,7.0,1386000.0
2018-09-01,2018.0,9.0,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Airbus,A388,30.0,25529520.0
2018-09-01,2018.0,9.0,Volaris Airlines,Y4,Volaris Airlines,Y4,International,Mexico,Passenger,Narrow Body,Airbus,A320,17.0,2479759.0
2018-09-01,2018.0,9.0,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,B748,15.0,10230000.0
2018-09-01,2018.0,9.0,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Boeing,B789,53.0,22525000.0
2018-09-01,2018.0,9.0,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,55.0,8164180.0
2018-09-01,2018.0,9.0,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Airbus,A332,12.0,4761600.0
2018-09-01,2018.0,9.0,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B737,9.0,1162800.0
2018-09-01,2018.0,9.0,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,21.0,5712000.0
2018-09-01,2018.0,9.0,Finnair,AY,Finnair,AY,International,Europe,Passenger,Wide Body,Airbus,A359,1.0,456357.0
2018-09-01,2018.0,9.0,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B773,13.0,7202000.0
2018-09-01,2018.0,9.0,China Southern,CZ,China Southern,CZ,International,Asia,Passenger,Wide Body,Boeing,B789,13.0,5525000.0
2018-09-01,2018.0,9.0,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B773,59.0,32686000.0
2018-09-01,2018.0,9.0,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,1347.0,189151028.0
2018-09-01,2018.0,9.0,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A320,77.0,10949246.0
2018-09-01,2018.0,9.0,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Passenger,Wide Body,Airbus,A332,9.0,3584715.0
2018-09-01,2018.0,9.0,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A321,5.0,857600.0
2018-09-01,2018.0,9.0,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B772,3.0,1380312.0
2018-09-01,2018.0,9.0,Jazz Aviation,QK,Air Canada,AC,International,Canada,Passenger,Regional Jet,Bombardier,CRJ9,117.0,8786700.0
2018-09-01,2018.0,9.0,SkyWest Airlines,OO,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Embraer,E175,65.0,4872205.0
2018-09-01,2018.0,9.0,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,5.0,3260000.0
2018-09-01,2018.0,9.0,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,20.0,3430400.0
2018-09-01,2018.0,9.0,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Airbus,A346,7.0,3996979.0
2018-09-01,2018.0,9.0,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B753,359.0,80416000.0
2018-09-01,2018.0,9.0,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B773,4.0,2216000.0
